Unnamed: 0,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
325,4316 Buffalo Rd,Fast Food,Erie,US,42.146291,-80.00426,McDonald's,16510,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJMEsyqLWgBLhwuLOLaKte0FR242fItKJMNnous3u0NYQOagV_tCFUZEg4UeNWzkd8Y1eqGS2W5tCE8GC05-fK9oCYoW29Q-lnH350vYbXPhaYiEwIc2kq74yEUttOvDo3OzEfYGInfEh7g7fXKeQ3R34zGGVprSaidD4NNbvbyRUrwF9gW6RidRcXUN_DV5v_yM2XOtKeQxKsCihjNkMxR25xxN6Ak9hK2r6Ujm4FmqdE4rpLbtXevC3iK6uHdO89ckVy2a4FqhjId5-_JC6a1UwaJYuyTCcKvk0Y9MNVQLMsoT0PfdW5l5xRCGn_eVLuWyuLVOBqoDnbBRMOMNXcM6knIvoZeFK4&placement=listing_profile&cs_user=unknown&cs_session=f3962862de7f0044d238024a0627c0cf588009b8"
338,136 Strawberry Sq,Fast Food Restaurants,Harrisburg,US,40.259785,-76.882783,Subway,17101,PA,http://www.subway.com
340,5083 Jonestown Rd,Fast Food Restaurant,Harrisburg,US,40.30807,-76.80277,Old Country Buffet,17112,PA,"http://locations.buffet.com/va/woodbridge/0211/,http://locations.buffet.com/pa/harrisburg/0234/,http://www.oldcountrybuffet.com"
345,244 Strawberry Sq,Fast Food Restaurant,Harrisburg,US,40.26197334,-76.88118964,Arby's,17101,PA,http://www.arbys.com
354,4635 High Pointe Blvd,Fast Food Restaurants,Harrisburg,US,40.24518907,-76.80411409,Subway,17111,PA,"http://www.subway.com,http://subway.com"
359,339 Main St,Fast Food Restaurant and Burger Joint,Johnstown,US,40.326614,-78.920599,Burger King,15901,PA,"http://burgerking.com,http://www.burgerking.com"
371,891 Freeport Rd,Fast Food Restaurant,Pittsburgh,US,40.4995,-79.8529,Wendy's,15238,PA,http://www.wendys.com
372,300 S Craig St,Fast Food Restaurants,Pittsburgh,US,40.44557,-79.94915,Quiznos,15213,PA,"http://restaurants.quiznos.com/pa/pittsburgh/carnegiemellonuniversity-15213,http://quiznos.com"
373,5427 Oxford Ave,Fast Food,Philadelphia,US,40.03096,-75.08434,Checkers,19124,PA,"https://locations.checkers.com/pa/philadelphia/5427-oxford-avenue,http://www.checkers.com,https://www.checkers.com,http://checkers.com/"
374,5427 Oxford Ave,Fast Food Restaurants,Philadelphia,US,40.03096,-75.08434,Checkers,19124,PA,"https://locations.checkers.com/pa/philadelphia/5427-oxford-avenue,http://www.checkers.com,https://www.checkers.com,http://checkers.com/"
375,5129 Market St,Fast Food Restaurants,Philadelphia,US,39.96014,-75.2243,Checkers,19139,PA,"https://locations.checkers.com/pa/philadelphia/5129-market-street,https://www.checkers.com"
376,527 Franklin Mills Cir,Fast Food,Philadelphia,US,40.08174,-74.9616,KFC,19154,PA,"http://www.kfc.com,http://www.kfc.com/,http://kfc.com"
377,3359 Kensington Ave,Fast Food Restaurants,Philadelphia,US,39.99864,-75.10917,7-Eleven,19134,PA,"http://www.7-eleven.com,http://www.7-eleven.com/?yext=21048,http://7-eleven.com/?yext=21048"
378,2900 Island Ave,Fast Food,Philadelphia,US,39.90384,-75.24059,Burger King,19153,PA,"http://www.bk.com,https://locations.bk.com/pa/philadelphia/2900-island-ave.html,http://www.burgerking.com/"
379,5720 Baltimore Ave,Fast Food Restaurant and Burger Joint,Philadelphia,US,39.94566629,-75.23952836,Checkers,19143,PA,"https://locations.checkers.com/pa/philadelphia/5726-46-baltimore-avenue,http://www.checkers.com,http://checkers.com"
380,5720 Baltimore Ave,Fast Food Restaurants,Philadelphia,US,39.94566629,-75.23952836,Checkers,19143,PA,"https://locations.checkers.com/pa/philadelphia/5726-46-baltimore-avenue,http://www.checkers.com,http://checkers.com"
381,5700 Baltimore Ave,Fast Food Restaurant,Philadelphia,US,39.946,-75.2376,KFC,19143,PA,http://www.kfc.com
382,2422 W Passyunk Ave,Fast Food Restaurant,Philadelphia,US,39.92207,-75.18748,Taco Bell,19145,PA,"http://www.tacobell.com,https://locations.tacobell.com/pa/philadelphia/2422-w-passyunk-avenue.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=K071099andutm_content=website"
383,3604 Chestnut St,Fast Food Restaurants,Philadelphia,US,39.9546,-75.1946,Wawa,19104,PA,https://www.wawa.com
